lat,lon,type,fee,name
43.7088,-121.2459,slipway,no,
43.7688,-121.8319,slipway,no,
43.7854,-121.8341,slipway,no,
43.8285,-121.8383,slipway,no,
43.833,-121.834,slipway,no,
43.9106,-121.7614,slipway,no,
43.9591,-121.7888,slipway,no,
43.9659,-121.808,slipway,no,
45.9816,-122.4188,slipway,no,
46.2014,-119.0376,slipway,no,
44.5376,-122.8887,slipway,no,
43.5009,-121.9736,slipway,no,
43.4613,-122.029,slipway,no,
43.6863,-122.4438,slipway,no,
43.8163,-122.5884,slipway,no,
43.808,-122.5655,slipway,no,
43.871,-122.6722,slipway,no,
43.7017,-122.3876,slipway,no,
43.6151,-122.4442,slipway,no,Bingham Boat Ramp
43.6597,-122.4367,slipway,no,
44.9738,-123.9986,slipway,no,
44.9,-124.0072,slipway,no,
45.4927,-121.8191,slipway,no,Lost Lake Boat Ramp
44.9901,-123.9953,slipway,no,Holmes Road Boat Ramp
44.9958,-123.9964,slipway,no,Blue Heron Landing
44.9928,-123.9962,slipway,no,
45.3939,-122.772,slipway,no,
43.7147,-121.7707,slipway,no,
45.939,-122.681,fishing,no,
45.9395,-122.6825,slipway,no,Island Boat Ramp
45.8677,-122.7251,slipway,no,Pekin Ferry Boat Launch
46.026,-122.3171,slipway,yes,
46.0596,-122.2762,slipway,no,
45.9129,-122.7406,fishing,no,
45.9586,-122.5601,fishing,no,
45.8166,-122.7502,slipway,no,
45.431,-122.6504,slipway,no,
45.8598,-122.6731,slipway,no,La Center Shore Launch
43.3883,-116.6704,slipway,no,
45.7059,-120.5018,slipway,no,Pasture Point Treaty Fishing Acc
44.4171,-121.7542,slipway,no,
45.2976,-122.3492,slipway,no,Estacada Lake Boat Ramp
45.6736,-122.6992,slipway,no,Vancouver Lake Boat Launch
42.659,-122.699,slipway,no,Casey Park Boat Ramp
42.6618,-122.7522,slipway,no,Rogue Elk Boat Ramp
42.6651,-122.6873,slipway,no,Cole Rivers Hatchery Boat Ramp
42.6135,-122.814,slipway,no,Shady Cove Boat Ramp
45.6814,-121.2884,slipway,no,
43.5452,-119.614,slipway,no,
46.0389,-122.8647,slipway,no,Fisherman's Loop Boat Launch
46.244,-119.2058,slipway,no,Boat Launch
44.2732,-123.1741,slipway,no,
43.0488,-123.5669,slipway,no,
42.9967,-124.4571,slipway,no,
45.9361,-122.6268,fishing,no,
45.9681,-122.4073,slipway,no,
46.1044,-123.2004,slipway,no,
46.0388,-122.8742,slipway,no,Sportsman's Club Boat Launch
46.0362,-122.8558,slipway,no,
46.0465,-122.8533,slipway,no,
44.5204,-124.0697,slipway,no,Beaver Creek Boat Launch
42.1711,-122.4623,slipway,no,
42.0283,-123.1488,slipway,no,Copper Boat Ramp
45.6036,-122.6583,slipway,no,
45.9905,-122.4753,slipway,no,
44.5326,-121.2913,slipway,no,
45.9819,-123.9273,slipway,no,
45.6273,-123.9388,slipway,no,
45.1973,-123.9651,slipway,no,
46.1778,-123.7507,slipway,no,
45.7047,-122.8685,slipway,no,
45.078,-123.0519,slipway,no,
45.1141,-121.8025,slipway,no,
45.3121,-122.3803,slipway,no,Lower McIver Boat Ramp
45.3963,-122.562,slipway,no,
43.5955,-123.8469,fishing,no,
46.0473,-122.8373,slipway,no,
46.0445,-122.7987,slipway,no,
42.5444,-117.1691,slipway,no,Three Forks Launch Site
43.2253,-117.4962,slipway,no,Birtch Creek Take-Out
46.1696,-123.2334,slipway,no,
45.387,-122.7626,slipway,no,Boat Ramp
45.5895,-120.4096,slipway,no,
44.0036,-120.3921,slipway,no,
